id,S(km/h),E(kwh),P(kg),R(kwh/h),Cr(kwh/km)
1,52,50,1000,300,0.16
2,52,50,1000,300,0.16
3,52,50,1000,300,0.16
4,52,50,1000,300,0.16
5,52,50,1000,300,0.16
6,52,50,1000,300,0.16
7,52,50,1000,300,0.16
8,52,50,1000,300,0.16
9,52,50,1000,300,0.16
10,52,50,1000,300,0.16
11,52,50,1000,300,0.16
12,52,50,1000,300,0.16
13,52,50,1000,300,0.16
14,52,50,1000,300,0.16
15,52,50,1000,300,0.16
16,52,50,1000,300,0.16
17,52,50,1000,300,0.16
18,52,50,1000,300,0.16
19,52,50,1000,300,0.16
20,52,50,1000,300,0.16
21,52,50,1000,300,0.16
22,52,50,1000,300,0.16
23,52,50,1000,300,0.16
24,52,50,1000,300,0.16
25,52,50,1000,300,0.16
26,52,50,1000,300,0.16
27,52,50,1000,300,0.16
28,52,50,1000,300,0.16
29,52,50,1000,300,0.16
30,52,50,1000,300,0.16
