id,Sd(km/h),Pd(kg),E_d
1,75,13,0.7
2,75,9,1.7
3,75,5,1.0
4,73,13,0.8
5,73,9,0.9
6,72,13,0.9
7,72,11,1.2
8,72,9,1.9
9,71,7,1.5
10,71,5,0.7
11,70,13,1.1
12,70,8,0.8
13,70,5,1.6
14,69,5,1.1
15,66,11,1.1
16,66,8,1.1
17,65,14,1.8
18,65,9,0.6
19,64,13,1.1
20,64,10,1.4
21,64,10,1.0
22,64,9,0.7
23,64,9,0.9
24,64,6,1.4
25,63,15,0.9
26,63,15,2.0
27,63,14,1.0
28,63,11,0.5
29,63,7,1.8
30,62,14,0.7
31,60,11,1.0
32,60,9,1.6
33,59,10,0.6
34,58,15,1.5
35,58,14,1.1
36,58,9,1.7
37,58,7,1.5
38,58,5,1.9
39,57,8,1.6
40,57,8,0.8
41,56,10,0.6
42,56,5,1.4
43,55,13,1.4
44,55,9,1.8
45,55,8,1.2
