id,Type,X,Y,Demand,ServiceBy
0,d,-8.0,-11.0,0,-
1,c,-29.2,25.7,1.3,D/V
2,c,20.1,-17.9,9.0,D/V
3,c,28.7,4.6,14.0,D/V
4,c,23.5,9.0,7.5,D/V
5,c,-26.5,-3.6,7.5,D/V
6,c,7.8,3.8,2.7,D/V
7,c,-7.4,-0.6,9.0,D/V
8,c,-22.6,28.8,9.1,D/V
9,c,13.9,-8.1,7.8,D/V
10,c,15.8,23.2,0.7,D/V
11,c,29.0,-15.5,2.9,D/V
12,c,3.2,-2.7,0.7,D/V
13,c,2.5,-13.6,10.5,D/V
14,c,16.5,4.0,11.4,D/V
15,c,-20.5,6.6,14.0,D/V
16,c,16.8,-18.5,7.5,D/V
17,c,-18.4,2.5,3.6,D/V
18,c,22.1,-9.4,10.3,D/V
19,c,22.1,0.1,5.6,D/V
20,c,-1.0,1.6,2.9,D/V
21,c,6.8,-15.5,8.9,D/V
22,c,13.3,-8.5,1.3,D/V
23,c,-24.1,24.4,14.6,D/V
24,c,11.7,29.7,14.0,D/V
25,c,7.8,6.1,4.6,D/V
26,c,5.3,-2.0,12.8,D/V
27,c,9.1,-6.7,13.0,D/V
28,c,13.9,-0.9,0.7,D/V
29,c,17.8,-0.0,4.0,D/V
30,c,9.1,18.1,8.6,D/V
31,c,24.9,17.1,11.0,D/V
32,c,-11.6,-27.4,1.1,D/V
33,c,1.2,-1.9,10.5,D/V
34,c,23.2,-14.7,9.5,D/V
35,c,-24.9,-23.6,5.4,D/V
36,c,-25.1,15.9,8.7,D/V
37,c,16.5,18.1,7.7,D/V
38,c,21.7,29.2,11.6,D/V
39,c,-1.4,23.1,6.5,D/V
40,c,-19.2,-0.0,2.8,D/V
41,c,25.9,-21.6,9.1,D/V
42,c,18.3,-0.1,11.7,D/V
43,c,-12.5,0.7,10.7,D/V
44,c,-13.2,-27.8,12.8,D/V
45,c,-27.2,-11.6,6.9,D/V
46,c,2.1,14.1,7.2,D/V
47,c,27.5,-6.9,1.1,D/V
48,c,22.4,-28.2,0.8,D/V
49,c,13.9,18.5,5.3,D/V
50,c,2.1,29.7,10.1,D/V
51,c,19.1,-11.2,5.6,D/V
52,c,17.5,-13.2,1.3,D/V
53,c,1.2,-19.1,0.9,D/V
54,c,-26.6,24.7,3.6,D/V
55,c,21.6,28.5,2.7,D/V
56,c,-7.1,2.6,9.1,D/V
57,c,-6.1,10.6,0.7,D/V
58,c,-25.4,-16.5,5.5,D/V
59,c,16.4,26.7,8.1,D/V
60,c,-2.3,-8.1,12.5,D/V
61,c,24.1,-13.3,1.2,D/V
62,c,-26.4,29.8,7.0,D/V
63,c,-17.8,26.3,12.5,D/V
64,c,15.6,-0.4,0.9,D/V
65,c,-15.5,-28.8,8.2,D/V
66,c,-7.2,4.0,5.1,D/V
67,c,15.0,-24.9,11.2,D/V
68,c,28.0,-2.8,30.5,V
69,c,13.2,10.9,92.8,V
70,c,-18.7,-26.2,74.8,V
71,c,6.8,-10.7,69.4,V
72,c,8.1,-8.1,22.7,V
73,c,10.9,9.4,20.1,V
74,c,-19.2,-28.3,70.4,V
75,c,-7.5,29.4,35.0,V
76,c,-28.9,21.9,22.8,V
77,c,22.5,28.1,72.9,V
78,c,21.0,-17.4,56.0,V
79,c,12.9,14.0,43.3,V
80,c,-9.6,5.7,88.2,V
81,c,27.7,-16.2,58.7,V
82,c,4.1,6.1,80.7,V
83,c,12.2,18.5,65.8,V
84,c,13.9,-3.5,48.9,V
85,c,-15.5,-27.3,73.2,V
86,c,9.0,26.3,46.4,V
87,c,21.7,2.8,90.0,V
88,c,-12.9,1.2,73.1,V
89,c,28.3,-20.9,27.1,V
90,c,-12.1,12.8,37.1,V
91,s,14.4,26.5,0,-
92,s,28.3,-21.5,0,-
93,s,24.0,-15.0,0,-
94,s,-0.9,24.7,0,-
95,s,-25.4,-0.9,0,-
96,s,25.2,4.8,0,-
97,s,14.3,-8.1,0,-
98,s,29.5,-17.5,0,-
99,s,-2.0,-12.4,0,-
100,s,29.0,0.5,0,-
101,s,-6.5,-10.4,0,-
102,s,-29.3,-22.1,0,-
103,s,28.0,-12.0,0,-
104,s,-5.8,8.7,0,-
105,s,-17.4,1.2,0,-
106,s,-6.5,-3.7,0,-
107,s,19.0,6.7,0,-
108,s,19.9,27.1,0,-
